Msg;Indice;Arquivo;Entregadores;Mutation;Cross;Fitness
Concluido;6;Senacs;2;Swap;SubRouteInsertion;491009
Concluido;7;Senacs;2;Swap;SubRouteInsertion;491009
Concluido;8;Senacs;2;Swap;SubRouteInsertion;491009
Concluido;9;Senacs;2;Swap;SubRouteInsertion;491009
Concluido;0;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;1;Senacs;2;Inversion;SubRouteInsertion;491009
Concluido;2;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;3;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;4;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;5;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;6;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;7;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;8;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;9;Senacs;2;Inversion;SubRouteInsertion;493802
Concluido;0;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;1;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;2;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;3;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;4;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;5;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;6;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;7;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;8;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;9;Senacs;2;Insertion;SubRouteInsertion;491009
Concluido;0;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;1;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;2;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;3;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;4;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;5;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;6;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;7;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;8;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;9;Senacs;2;Displacement;SubRouteInsertion;491009
Concluido;0;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;1;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;2;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;3;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;4;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;5;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;6;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;7;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;8;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;9;Turisticos;1;Swap;SubRouteInsertion;71360
Concluido;0;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;1;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;2;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;3;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;4;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;5;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;6;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;7;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;8;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;9;Turisticos;1;Inversion;SubRouteInsertion;71360
Concluido;0;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;1;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;2;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;3;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;4;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;5;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;6;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;7;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;8;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;9;Turisticos;1;Insertion;SubRouteInsertion;71360
Concluido;0;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;1;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;2;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;3;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;4;Turisticos;1;Displacement;SubRouteInsertion;71360
